epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,258.799,0,121.83,0,0,0,0,0,0,181.985,0,0.00017148,0.00017148,0.00017148
2,509.562,0,107.573,0,0,0,0,0,0,179.4,0,0.000350176,0.000350176,0.000350176
3,759.355,0,98.4029,0,0,0,0,0,0,162.977,0,0.000521516,0.000521516,0.000521516
4,1009.07,0,92.3012,0,0,0,0,0,0,255.658,0,0.0006855,0.0006855,0.0006855
5,1258.03,0,86.5737,0,0,0,0,0,0,1102.3,0,0.000842127,0.000842127,0.000842127
6,1507.35,0,82.2399,0,0,0,0,0,0,141.293,0,0.000991397,0.000991397,0.000991397
7,1756.32,0,77.389,0,0,0,0,0,0,140.789,0,0.00113331,0.00113331,0.00113331
8,2006.04,0,73.9687,0,0,0,0,0,0,634.576,0,0.00123094,0.00123094,0.00123094
9,2257,0,69.3966,0,0,0,0,0,0,691842,0,0.00120265,0.00120265,0.00120265
10,2506.43,0,65.1923,0,0,0,0,0,0,99.185,0,0.00117435,0.00117435,0.00117435
11,2755.92,0,61.1232,0,0,0,0,0,0,90.5971,0,0.00114606,0.00114606,0.00114606
12,3005.1,0,57.9526,0,0,0,0,0,0,86.708,0,0.00111776,0.00111776,0.00111776
13,3253.89,0,54.1329,0,0,0,0,0,0,85.8942,0,0.00108947,0.00108947,0.00108947
14,3502.51,0,50.9948,0,0,0,0,0,0,95.9482,0,0.00106118,0.00106118,0.00106118
15,3751.79,0,47.9262,0,0,0,0,0,0,110.405,0,0.00103288,0.00103288,0.00103288
16,4000.42,0,44.9306,0,0,0,0,0,0,68.2273,0,0.00100459,0.00100459,0.00100459
17,4249.12,0,42.1792,0,0,0,0,0,0,63.2266,0,0.000976293,0.000976293,0.000976293
18,4497.95,0,39.6672,0,0,0,0,0,0,59.1393,0,0.000947999,0.000947999,0.000947999
19,4746.5,0,37.2814,0,0,0,0,0,0,59.9259,0,0.000919704,0.000919704,0.000919704
20,4994.66,0,35.0014,0,0,0,0,0,0,53.5944,0,0.00089141,0.00089141,0.00089141
21,5242.72,0,32.9175,0,0,0,0,0,0,49.3281,0,0.000863116,0.000863116,0.000863116
22,5490.94,0,31.0416,0,0,0,0,0,0,47.995,0,0.000834822,0.000834822,0.000834822
23,5738.96,0,29.2461,0,0,0,0,0,0,42.9993,0,0.000806528,0.000806528,0.000806528
24,5987.26,0,27.544,0,0,0,0,0,0,40.0141,0,0.000778233,0.000778233,0.000778233
25,6235.41,0,25.9244,0,0,0,0,0,0,38.5067,0,0.000749939,0.000749939,0.000749939
26,6482.9,0,24.4566,0,0,0,0,0,0,35.2981,0,0.000721645,0.000721645,0.000721645
27,6731.17,0,23.2195,0,0,0,0,0,0,34.5921,0,0.000693351,0.000693351,0.000693351
28,6979.27,0,21.9833,0,0,0,0,0,0,32.6623,0,0.000665057,0.000665057,0.000665057
29,7227.1,0,20.8412,0,0,0,0,0,0,31.1085,0,0.000636762,0.000636762,0.000636762
30,7475.13,0,19.8193,0,0,0,0,0,0,30.4043,0,0.000608468,0.000608468,0.000608468
31,7723.16,0,18.8644,0,0,0,0,0,0,28.7981,0,0.000580174,0.000580174,0.000580174
32,7970.95,0,18.0094,0,0,0,0,0,0,70.5088,0,0.00055188,0.00055188,0.00055188
33,8218.68,0,17.1972,0,0,0,0,0,0,35.6899,0,0.000523586,0.000523586,0.000523586
34,8466.49,0,16.4752,0,0,0,0,0,0,47.3212,0,0.000495291,0.000495291,0.000495291
35,8714.41,0,15.8199,0,0,0,0,0,0,24.4454,0,0.000466997,0.000466997,0.000466997
36,8962.74,0,15.2231,0,0,0,0,0,0,23.7188,0,0.000438703,0.000438703,0.000438703
37,9210.57,0,14.6249,0,0,0,0,0,0,21.241,0,0.000410409,0.000410409,0.000410409
38,9458.61,0,14.1183,0,0,0,0,0,0,22.2721,0,0.000382115,0.000382115,0.000382115
39,9706.99,0,13.6725,0,0,0,0,0,0,20.3767,0,0.00035382,0.00035382,0.00035382
40,9955.08,0,13.2437,0,0,0,0,0,0,20.1258,0,0.000325526,0.000325526,0.000325526
41,10203.7,0,12.9117,0,0,0,0,0,0,18.9457,0,0.000297232,0.000297232,0.000297232
42,10451.5,0,12.5706,0,0,0,0,0,0,19.5915,0,0.000268938,0.000268938,0.000268938
43,10699,0,12.2751,0,0,0,0,0,0,19.0113,0,0.000240644,0.000240644,0.000240644
44,10946.7,0,12.0319,0,0,0,0,0,0,17.4798,0,0.000212349,0.000212349,0.000212349
45,11193.6,0,11.8088,0,0,0,0,0,0,17.5439,0,0.000184055,0.000184055,0.000184055
46,11441.1,0,11.6234,0,0,0,0,0,0,17.242,0,0.000155761,0.000155761,0.000155761
47,11688.7,0,11.4771,0,0,0,0,0,0,17.1146,0,0.000127467,0.000127467,0.000127467
48,11935.9,0,11.3632,0,0,0,0,0,0,17.0872,0,9.91726e-05,9.91726e-05,9.91726e-05
49,12183,0,11.2672,0,0,0,0,0,0,16.9149,0,7.08784e-05,7.08784e-05,7.08784e-05
50,12430.2,0,11.203,0,0,0,0,0,0,16.7918,0,4.25842e-05,4.25842e-05,4.25842e-05
